t,mutual_information_a,CC_a,mutual_information_p,CC_p
1.5848931924611136,0.0,0.0,0.0,0.0
2.51188643150958,0.0,0.0,0.0,0.0
3.9810717055349722,0.0,0.0,0.0,0.0
6.309573444801933,0.0017020882453589058,0.0018064510029836124,0.0006503049675778822,0.0006902428667066346
10.0,0.004464348382141749,0.0047369114024728935,0.0020028911743617357,0.0021256405078097286
15.848931924611133,0.007757780309695146,0.008179654523484877,0.0035834466887801277,0.003791186275982357
25.118864315095795,0.01472999696327309,0.015556186677743458,0.007578085844223223,0.008020820766737335
39.810717055349734,0.023871517825794084,0.025135980862116988,0.012497329020635493,0.013223444178050794
63.09573444801933,0.03664388810100695,0.03846427461747021,0.018760201546962445,0.019737733792384842
100.0,0.058494163153080134,0.06122917355088342,0.02888733296659589,0.03032825746456088
158.48931924611142,0.09403863689205205,0.09804711096196131,0.04889554878734178,0.0512902595689453
251.18864315095797,0.1434400960780697,0.14856541989532396,0.07587566533738266,0.07933359004585651
398.1071705534973,0.21990908612201363,0.22617278453068787,0.12024956164173471,0.12530812313328424
630.957344480193,0.33341128486073757,0.33983139071015483,0.18728254518205859,0.19410005169954628
1000.0,0.47812922124185053,0.4826365298116092,0.28606839467447137,0.2940340985599535
1584.893192461114,0.6258805057626919,0.627004884961458,0.41868060078026365,0.426256142395835
2511.88643150958,0.7411410710483092,0.7412619190589336,0.580131946972808,0.5848314151449348
3981.0717055349733,0.7720333821999434,0.7748729700458158,0.7552192904707681,0.7564903035614491
6309.57344480193,0.7135119792167545,0.7191801582299271,0.8854968269913742,0.8855704347819928
10000.0,0.6188458444610725,0.6268963413770201,0.9534989739580507,0.9535079313995475
15848.93192461114,0.5089582114497571,0.5190239133182204,0.9898193602339098,0.9898206477366113
25118.864315095823,0.38010670645071964,0.3910884957845591,0.9992828824046044,0.9992829025625268
39810.71705534969,0.2516238395517901,0.26145111512089386,1.0,1.0
63095.7344480193,0.14203278405293052,0.14891446723056956,0.9999999999999992,0.9999999999999992
100000.0,0.061670200344356926,0.06510600462372426,0.9999999999999997,0.9999999999999997
158489.3192461114,0.015113676122083333,0.016021234455389707,0.9999999999999997,0.9999999999999997
251188.6431509582,0.0022536600600524858,0.002391724555060983,0.999999999999999,0.999999999999999
398107.1705534969,0.0,0.0,0.9999999999999984,0.9999999999999984
630957.344480193,0.0,0.0,0.9999999999999983,0.9999999999999983
1.0e6,0.0,0.0,0.9999999999999966,0.9999999999999966
