t,mutual_information_a,CC_a,mutual_information_p,CC_p
1.5848931924611136,0.0010172419422555406,0.0010371949776283233,0.0,0.0
2.51188643150958,0.005186922960162337,0.005249099458072051,7.551761566345598e-5,7.609883762027535e-5
3.9810717055349722,0.010353371347739724,0.010455035938041157,0.0013337189973603432,0.0013755118988710172
6.309573444801933,0.020520667535187567,0.02071411018514473,0.002373040787976623,0.0024317741479944104
10.0,0.0365813208669268,0.036893933730789294,0.005009406406143254,0.005143177864557644
15.848931924611133,0.05994203147814175,0.06034442836528786,0.008142683472777386,0.008344999976912673
25.118864315095795,0.08746543644871618,0.08780297151784336,0.011997612219759621,0.012234124968141013
39.810717055349734,0.12344799869744838,0.12357282722371121,0.02097176251487896,0.021396189890179995
63.09573444801933,0.16160691891211068,0.16162981545201854,0.032901073456907765,0.033537671433507825
100.0,0.1894007006842532,0.19030656642139593,0.051829604893403214,0.05273033385746628
158.48931924611142,0.17774004292299966,0.18138514420260796,0.08200390702739892,0.08327191318177951
251.18864315095797,0.11713193189167448,0.12187857207201128,0.12958336895102893,0.13132257608669898
398.1071705534973,0.05014503939129405,0.05285835288838574,0.19585741238541557,0.19767789491493903
630.957344480193,0.013378345964127115,0.01418388532092905,0.3003830025320996,0.30216077236885086
1000.0,0.0017020882453588852,0.001806451002983377,0.4295513375010172,0.4308266101117336
1584.893192461114,5.0001803459049385e-5,5.307546207486892e-5,0.574376871703944,0.5751219330550692
2511.88643150958,0.0,0.0,0.7372915629947313,0.7375833296235071
3981.0717055349733,0.0,0.0,0.8711470837477067,0.8712533803929449
6309.57344480193,0.0,0.0,0.9565612023471428,0.9565665959138074
10000.0,0.0,0.0,0.9928605468191709,0.9928606154412873
15848.93192461114,0.0,0.0,0.9995195179762784,0.9995195179765566
25118.864315095823,0.0,0.0,0.9999999999999996,0.9999999999999996
39810.71705534969,0.0,0.0,0.9999999999999998,0.9999999999999998
63095.7344480193,0.0,0.0,0.9999999999999999,0.9999999999999999
100000.0,0.0,0.0,0.9999999999999996,0.9999999999999996
158489.3192461114,0.0,0.0,0.9999999999999992,0.9999999999999992
251188.6431509582,0.0,0.0,0.9999999999999993,0.9999999999999993
398107.1705534969,0.0,0.0,0.9999999999999991,0.9999999999999991
630957.344480193,0.0,0.0,0.9999999999999983,0.9999999999999983
1.0e6,0.0,0.0,0.9999999999999981,0.9999999999999981
