logT,logN,CC,Accuracy
-4.95,2.2,9.692747666733105e-18,0.5
-4.95,2.3,1.6934622083366383e-19,0.5
-4.95,2.4,1.9330727431406476e-21,0.5
-4.95,2.5,1.3785531162546872e-23,0.5
-4.95,2.6,5.845414163632193e-26,0.5
-4.95,2.7,1.3953324243844398e-28,0.5
-4.95,2.8,1.765092486858747e-31,0.5
-4.95,2.9,1.1068311368973734e-34,0.5
-4.95,3.0,3.195698747227564e-38,0.5
-4.95,3.1,3.915580872944785e-42,0.5
-4.95,3.2,1.8604678117467985e-46,0.5
-4.95,3.3,3.102958307794326e-51,0.5
-4.95,3.4,1.6271936718341883e-56,0.5
-4.95,3.5,2.375552840473934e-62,0.5
-4.95,3.6,8.440086417273477e-69,0.5
-4.95,3.7,6.289815412505128e-76,0.5
-4.95,3.8,8.342595922293207e-84,0.5
-4.95,3.9,1.642471284352001e-92,0.5
-4.95,4.0,3.9273266392723146e-102,0.5
-4.95,4.1,9.137022831214417e-113,0.5
-4.95,4.2,1.618822686415565e-124,0.5
-4.95,4.3,1.6659682570592184e-137,0.5
-4.95,4.4,7.3828397109053215e-152,0.5
-4.95,4.5,1.0120811804900981e-167,0.5
-4.95,4.6,2.9776944724401734e-185,0.5
-4.95,4.7,1.2553311354587722e-204,0.5
-4.95,4.8,4.8521823675506596e-226,0.5
-4.95,4.9,1.0498079744239938e-249,0.5
-4.95,5.0,7.369381023480083e-276,0.5
-4.95,5.1,9.186408204454146e-305,0.5
-4.95,5.2,0,0.5
-4.95,5.3,0,0.5
-4.95,5.4,0,0.5
-4.95,5.5,0,0.5
-4.95,5.6,0,0.5
-4.95,5.7,0,0.5
-4.95,5.8,0,0.5
-4.95,5.9,0,0.5
-4.95,6.0,0,0.5
-4.95,6.1,0,0.5
-4.95,6.2,0,0.5
-4.95,6.3,0,0.5
-4.95,6.4,0,0.5
-4.95,6.5,0,0.5
-4.95,6.6,0,0.5
-4.95,6.7,0,0.5
-4.95,6.8,0,0.5
-4.95,6.9,0,0.5
-4.95,7.0,0,0.5
-4.95,7.1,0,0.5
-4.95,7.2,0,0.5
-4.95,7.3,0,0.5
-4.95,7.4,0,0.5
-4.95,7.5,0,0.5
-4.95,7.6,0,0.5
-4.95,7.7,0,0.5
-4.95,7.8,0,0.5
-4.95,7.9,0,0.5
-4.95,8.0,0,0.5
-4.95,8.1,0,0.5
-4.95,8.2,0,0.5
-4.95,8.3,0,0.5
-4.95,8.4,0,0.5
-4.95,8.5,0,0.5
-4.95,8.6,0,0.5
-4.95,8.7,0,0.5
-4.95,8.8,0,0.5
-4.95,8.9,0,0.5
-4.95,9.0,0,0.5
-4.95,9.1,0,0.5
-4.95,9.2,0,0.5
-4.95,9.3,0,0.5
-4.95,9.4,0,0.5
-4.95,9.5,0,0.5
-4.95,9.6,0,0.5
-4.95,9.7,0,0.5
-4.95,9.8,0,0.5
-4.95,9.9,0,0.5
-4.95,10.0,0,0.5
-4.9,0.0,0.0009105599971167069,0.5036819427508208
-4.9,0.10000000000000007,0.0006862500713160399,0.5025302357131007
-4.9,0.2,0.0004925185494296831,0.5016548490945548
-4.9,0.30000000000000004,0.0003347267494701561,0.501024838563572
-4.9,0.4,0.00021410865476619712,0.5005976059341946
-4.9,0.5,0.00012804679677398407,0.5003261025670069
-4.9,0.6,7.108022689325497e-5,0.5001653947790541
-4.9,0.7000000000000001,3.633609637050747e-5,0.5000773874863376
-4.9,0.8000000000000002,1.6957991225496618e-5,0.5000331306594429
-4.9,0.9,7.156979530952917e-6,0.500012860949155
-4.9,1.0,2.703162169461146e-6,0.5000044821023639
-4.9,1.1,9.032812265723648e-7,0.5000013871019511
-4.9,1.2,2.636788455177413e-7,0.500000376643881
-4.9,1.3,6.633455808667209e-8,0.5000000885531614
-4.9,1.4,1.3699902355826063e-8,0.5000000177665581
-4.9,1.5,2.432081357046446e-9,0.5000000029933764
-4.9,1.6,3.5395044665096567e-10,0.5000000004160983
-4.9,1.7,4.140471376173318e-11,0.500000000046798
-4.9,1.8,3.810311434897913e-12,0.5000000000041677
-4.9,1.9,2.6926661845725197e-13,0.500000000000287
-4.9,2.0,1.4134094382090882e-14,0.5000000000000149
-4.9,2.1,6.4618806287064305e-16,0.5000000000000006
-4.9,2.2,1.5170593311390637e-17,0.5
-4.9,2.3,2.7783871765355445e-19,0.5
-4.9,2.4,3.3410195432407578e-21,0.5
-4.9,2.5,2.5237490852914024e-23,0.5
-4.9,2.6,1.140402669110343e-25,0.5
-4.9,2.7,2.9204228658031433e-28,0.5
-4.9,2.8,3.992739634073643e-31,0.5
-4.9,2.9,2.7281506814016795e-34,0.5
-4.9,3.0,8.660788139037185e-38,0.5
-4.9,3.1,1.1784900040750662e-41,0.5
-4.9,3.2,6.287518469979321e-46,0.5
-4.9,3.3,1.1919373851817932e-50,0.5
-4.9,3.4,7.200900058127972e-56,0.5
-4.9,3.5,1.2292695594890736e-61,0.5
-4.9,3.6,5.191692915254637e-68,0.5
-4.9,3.7,4.683557668806926e-75,0.5
-4.9,3.8,7.672584807546171e-83,0.5
-4.9,3.9,1.9075908430344016e-91,0.5
-4.9,4.0,5.903236385765818e-101,0.5
-4.9,4.1,1.826347065341618e-111,0.5
-4.9,4.2,4.433859863753307e-123,0.5
-4.9,4.3,6.4631062155892544e-136,0.5
-4.9,4.4,4.2081468888420166e-150,0.5
-4.9,4.5,8.825696574774629e-166,0.5
-4.9,4.6,4.154334695385744e-183,0.5
-4.9,4.7,2.9439568800310764e-202,0.5
-4.9,4.8,2.0201496607301153e-223,0.5
-4.9,4.9,8.242251890761184e-247,0.5
-4.9,5.0,1.1663532548503616e-272,0.5
-4.9,5.1,3.155212208279672e-301,0.5
-4.9,5.2,0,0.5
-4.9,5.3,0,0.5
-4.9,5.4,0,0.5
-4.9,5.5,0,0.5
-4.9,5.6,0,0.5
-4.9,5.7,0,0.5
-4.9,5.8,0,0.5
-4.9,5.9,0,0.5
-4.9,6.0,0,0.5
-4.9,6.1,0,0.5
-4.9,6.2,0,0.5
-4.9,6.3,0,0.5
-4.9,6.4,0,0.5
-4.9,6.5,0,0.5
-4.9,6.6,0,0.5
-4.9,6.7,0,0.5
-4.9,6.8,0,0.5
-4.9,6.9,0,0.5
-4.9,7.0,0,0.5
-4.9,7.1,0,0.5
-4.9,7.2,0,0.5
-4.9,7.3,0,0.5
-4.9,7.4,0,0.5
-4.9,7.5,0,0.5
-4.9,7.6,0,0.5
-4.9,7.7,0,0.5
-4.9,7.8,0,0.5
-4.9,7.9,0,0.5
-4.9,8.0,0,0.5
-4.9,8.1,0,0.5
-4.9,8.2,0,0.5
-4.9,8.3,0,0.5
-4.9,8.4,0,0.5
-4.9,8.5,0,0.5
-4.9,8.6,0,0.5
-4.9,8.7,0,0.5
-4.9,8.8,0,0.5
-4.9,8.9,0,0.5
-4.9,9.0,0,0.5
-4.9,9.1,0,0.5
-4.9,9.2,0,0.5
-4.9,9.3,0,0.5
-4.9,9.4,0,0.5
-4.9,9.5,0,0.5
-4.9,9.6,0,0.5
-4.9,9.7,0,0.5
-4.9,9.8,0,0.5
-4.9,9.9,0,0.5
-4.9,10.0,0,0.5
-4.85,0.0,0.0009569759817386575,0.5038685048378277
-4.85,0.10000000000000007,0.0007248861364409602,0.5026723711101826
-4.85,0.2,0.0005231930525524467,0.5017579335151579
