t,mutual_information_a,CC_a,mutual_information_p,CC_p
1.5848931924611136,0.0,0.0,0.0,0.0
2.51188643150958,0.0,0.0,0.0,0.0
3.9810717055349722,0.0,0.0,0.0,0.0
6.309573444801933,0.0002000288596729448,0.00021232198258626508,0.0,0.0
10.0,0.0011509550806492925,0.001221585404609994,0.00010000721419655606,0.00010615427953963158
15.848931924611133,0.0035088675617598506,0.0037234123681192093,0.00015001623275418398,0.00015923645288119987
25.118864315095795,0.0054715433431799495,0.005805078040684215,0.00015001623275418398,0.00015923645288119987
39.810717055349734,0.0093629759396205,0.009930284766946483,0.0002500450954944513,0.00026541086914205726
63.09573444801933,0.015307002614980294,0.016127525669896992,0.0002500450954944513,0.00026541086914205726
100.0,0.026498712906607973,0.027907619501732844,0.0004501461386402926,0.00047779999361939406
158.48931924611142,0.04458064340672507,0.04695756290062163,0.0006002598410274162,0.0006371271077953138
251.18864315095797,0.06983836692485342,0.0732310674185939,0.0007003537079093808,0.000743361986857823
398.1071705534973,0.108024866476023,0.11282708490883821,0.0010453772330795824,0.0010875542171605438
630.957344480193,0.16994167384402065,0.17650947146985177,0.0019107393161090513,0.001998641757607324
1000.0,0.26080074186264657,0.26907680628756303,0.002690644631270156,0.0028214891400017857
1584.893192461114,0.3910898885030903,0.39923692910740705,0.004367752449764846,0.004593840951665946
2511.88643150958,0.5570909783369933,0.5626103902006776,0.00776095657706277,0.008183606847915179
3981.0717055349733,0.7255470869708325,0.7270060859960017,0.012347473808865401,0.013036466058798296
6309.57344480193,0.8362448447050268,0.836281113409016,0.018765055919613,0.0198235128930928
10000.0,0.861075713524009,0.8623459375179547,0.0293010355620209,0.030953003698565393
15848.93192461114,0.8159022640598054,0.8188729223452802,0.04667205533663361,0.04920677431392987
25118.864315095823,0.7466625782340912,0.7515397605103876,0.07327123668297321,0.07698618267119486
39810.71705534969,0.6608806706379537,0.6679517169496005,0.11529776897101297,0.12070418388295895
63095.7344480193,0.5541599787287855,0.5635096390303992,0.17446313207857056,0.1817532128855243
100000.0,0.4367903181055788,0.4475955868236802,0.2643290824123264,0.2733018675765674
158489.3192461114,0.3128650139803911,0.32352986359017566,0.3925271994101235,0.4016384503992365
251188.6431509582,0.19237436020197762,0.20085011468410974,0.563778550349623,0.5708985040692623
398107.1705534969,0.09361898561865273,0.09856119764835233,0.7558696171620848,0.7587279013780166
630957.344480193,0.0343377593662296,0.03633784119335949,0.8969674027250828,0.8973681413037689
1.0e6,0.006026125420961757,0.0063931506096752385,0.9696362714721577,0.9696612224063598
