t,mutual_information_a,CC_a,mutual_information_p,CC_p
1.5848931924611136,0.0,0.0,0.0,0.0
2.51188643150958,0.0,0.0,0.0,0.0
3.9810717055349722,0.0019074220451434515,0.001994606670942514,0.0007504060625654309,0.0007964844687372208
6.309573444801933,0.006497923684211911,0.006782589814312276,0.002913512928390417,0.0030698730418042444
10.0,0.013092917820915088,0.013566174356204113,0.006617169935033149,0.0068947644819464015
15.848931924611133,0.023948577656923865,0.0248007487180531,0.012663803637583461,0.013197730531041266
25.118864315095795,0.03888565298694831,0.040199573973533353,0.02196361911037195,0.022934964017361188
39.810717055349734,0.06599766428025877,0.06811404035280848,0.03717886687728359,0.03879346854816827
63.09573444801933,0.1021458519476321,0.10486521806988922,0.05865004346792172,0.060966526909571744
100.0,0.16017319595000745,0.1637408434599139,0.0908126587231644,0.09405847753937897
158.48931924611142,0.23571605685483457,0.23921916401036128,0.1379169398089523,0.14207839341183592
251.18864315095797,0.34909370383254745,0.3514139112622162,0.21952836343444998,0.22469621218860153
398.1071705534973,0.4608754009272563,0.4612866143255188,0.3222010663876026,0.32737261979689586
630.957344480193,0.5522735621926859,0.5529576365715037,0.4587799118807566,0.462421713606328
1000.0,0.5583599456586376,0.5639275446041132,0.621948676755476,0.6232909758040931
1584.893192461114,0.48026367267597725,0.49036912642868846,0.7721530714552146,0.7723601520660159
2511.88643150958,0.35580053503606585,0.3667368198506029,0.8859499617403255,0.8859882831172625
3981.0717055349733,0.22759714029994016,0.23694268587848782,0.9645051498043403,0.9645123180946472
6309.57344480193,0.12072554012930835,0.12680379254159435,0.9945930096052998,0.9945930718831241
10000.0,0.04835090676319139,0.05110419079105461,0.9997049932735057,0.9997049946708878
15848.93192461114,0.01134233629885777,0.01202745882893546,0.9999999999999996,0.9999999999999996
25118.864315095823,0.0011008737918472484,0.0011684360113154214,0.9999999999999996,0.9999999999999996
39810.71705534969,0.00010000721419654504,0.0001061542795395279,0.9999999999999989,0.9999999999999989
63095.7344480193,0.0,0.0,0.9999999999999997,0.9999999999999997
100000.0,0.0,0.0,0.9999999999999989,0.9999999999999989
158489.3192461114,0.0,0.0,0.9999999999999981,0.9999999999999981
251188.6431509582,0.0,0.0,0.9999999999999987,0.9999999999999987
398107.1705534969,0.0,0.0,0.9999999999999979,0.9999999999999979
630957.344480193,0.0,0.0,0.9999999999999953,0.9999999999999953
1.0e6,0.0,0.0,0.9999999999999951,0.9999999999999951
